Sample_Name,Microbiome,Sample,Rep,fq1,fq2
S9-FBB0-2,S9,FBB0,2,S9-FBB0-2_L001_R1_001.fastq.gz,S9-FBB0-2_L001_R2_001.fastq.gz
S3-FBB0-1,S3,FBB0,1,S3-FBB0-1_L001_R1_001.fastq.gz,S3-FBB0-1_L001_R2_001.fastq.gz
S5-FBB0-2,S5,FBB0,2,S5-FBB0-2_L001_R1_001.fastq.gz,S5-FBB0-2_L001_R2_001.fastq.gz
S21-FBB0-2,S21,FBB0,2,S21-FBB0-2_L001_R1_001.fastq.gz,S21-FBB0-2_L001_R2_001.fastq.gz
S22-FBB0-2,S22,FBB0,2,S22-FBB0-2_L001_R1_001.fastq.gz,S22-FBB0-2_L001_R2_001.fastq.gz
S17-FBB0-1,S17,FBB0,1,S17-FBB0-1_L001_R1_001.fastq.gz,S17-FBB0-1_L001_R2_001.fastq.gz
S4-FBB0-2,S4,FBB0,2,S4-FBB0-2_L001_R1_001.fastq.gz,S4-FBB0-2_L001_R2_001.fastq.gz
S14-FBB0-2,S14,FBB0,2,S14-FBB0-2_L001_R1_001.fastq.gz,S14-FBB0-2_L001_R2_001.fastq.gz
S20-FBB0-2,S20,FBB0,2,S20-FBB0-2_L001_R1_001.fastq.gz,S20-FBB0-2_L001_R2_001.fastq.gz
S24-FBB0-2,S24,FBB0,2,S24-FBB0-2_L001_R1_001.fastq.gz,S24-FBB0-2_L001_R2_001.fastq.gz
S18-FBB0-2,S18,FBB0,2,S18-FBB0-2_L001_R1_001.fastq.gz,S18-FBB0-2_L001_R2_001.fastq.gz
S1-FBB0-1,S1,FBB0,1,S1-FBB0-1_L001_R1_001.fastq.gz,S1-FBB0-1_L001_R2_001.fastq.gz
S5-FBB0-1,S5,FBB0,1,S5-FBB0-1_L001_R1_001.fastq.gz,S5-FBB0-1_L001_R2_001.fastq.gz
S19-FBB0-1,S19,FBB0,1,S19-FBB0-1_L001_R1_001.fastq.gz,S19-FBB0-1_L001_R2_001.fastq.gz
S16-FBB0-1,S16,FBB0,1,S16-FBB0-1_L001_R1_001.fastq.gz,S16-FBB0-1_L001_R2_001.fastq.gz
S1-FBB0-2,S1,FBB0,2,S1-FBB0-2_L001_R1_001.fastq.gz,S1-FBB0-2_L001_R2_001.fastq.gz
S6-FBB0-1,S6,FBB0,1,S6-FBB0-1_L001_R1_001.fastq.gz,S6-FBB0-1_L001_R2_001.fastq.gz
S2-FBB0-2,S2,FBB0,2,S2-FBB0-2_L001_R1_001.fastq.gz,S2-FBB0-2_L001_R2_001.fastq.gz
S21-FBB0-1,S21,FBB0,1,S21-FBB0-1_L001_R1_001.fastq.gz,S21-FBB0-1_L001_R2_001.fastq.gz
S15-FBB0-1,S15,FBB0,1,S15-FBB0-1_L001_R1_001.fastq.gz,S15-FBB0-1_L001_R2_001.fastq.gz
S17-FBB0-2,S17,FBB0,2,S17-FBB0-2_L001_R1_001.fastq.gz,S17-FBB0-2_L001_R2_001.fastq.gz
S7-FBB0-2,S7,FBB0,2,S7-FBB0-2_L001_R1_001.fastq.gz,S7-FBB0-2_L001_R2_001.fastq.gz
S12-HP301-2,S12,HP301,2,S12-HP301-2_L001_R1_001.fastq.gz,S12-HP301-2_L001_R2_001.fastq.gz
S3-HP301-2,S3,HP301,2,S3-HP301-2_L001_R1_001.fastq.gz,S3-HP301-2_L001_R2_001.fastq.gz
S15-HP301-2,S15,HP301,2,S15-HP301-2_L001_R1_001.fastq.gz,S15-HP301-2_L001_R2_001.fastq.gz
S9-HP301-1,S9,HP301,1,S9-HP301-1_L001_R1_001.fastq.gz,S9-HP301-1_L001_R2_001.fastq.gz
S6-HP301-2,S6,HP301,2,S6-HP301-2_L001_R1_001.fastq.gz,S6-HP301-2_L001_R2_001.fastq.gz
S2-HP301-1,S2,HP301,1,S2-HP301-1_L001_R1_001.fastq.gz,S2-HP301-1_L001_R2_001.fastq.gz
S18-HP301-1,S18,HP301,1,S18-HP301-1_L001_R1_001.fastq.gz,S18-HP301-1_L001_R2_001.fastq.gz
S19-HP301-2,S19,HP301,2,S19-HP301-2_L001_R1_001.fastq.gz,S19-HP301-2_L001_R2_001.fastq.gz
S20-HP301-1,S20,HP301,1,S20-HP301-1_L001_R1_001.fastq.gz,S20-HP301-1_L001_R2_001.fastq.gz
S12-HP301-1,S12,HP301,1,S12-HP301-1_L001_R1_001.fastq.gz,S12-HP301-1_L001_R2_001.fastq.gz
S22-HP301-1,S22,HP301,1,S22-HP301-1_L001_R1_001.fastq.gz,S22-HP301-1_L001_R2_001.fastq.gz
S24-HP301-1,S24,HP301,1,S24-HP301-1_L001_R1_001.fastq.gz,S24-HP301-1_L001_R2_001.fastq.gz
S14-HP301-1,S14,HP301,1,S14-HP301-1_L001_R1_001.fastq.gz,S14-HP301-1_L001_R2_001.fastq.gz
S16-HP301-2,S16,HP301,2,S16-HP301-2_L001_R1_001.fastq.gz,S16-HP301-2_L001_R2_001.fastq.gz
S7-HP301-1,S7,HP301,1,S7-HP301-1_L001_R1_001.fastq.gz,S7-HP301-1_L001_R2_001.fastq.gz
S4-HP301-1,S4,HP301,1,S4-HP301-1_L001_R1_001.fastq.gz,S4-HP301-1_L001_R2_001.fastq.gz
S9-HP301-2,S9,HP301,2,S9-HP301-2_L001_R1_001.fastq.gz,S9-HP301-2_L001_R2_001.fastq.gz
S3-HP301-1,S3,HP301,1,S3-HP301-1_L001_R1_001.fastq.gz,S3-HP301-1_L001_R2_001.fastq.gz
S5-HP301-2,S5,HP301,2,S5-HP301-2_L001_R1_001.fastq.gz,S5-HP301-2_L001_R2_001.fastq.gz
S21-HP301-2,S21,HP301,2,S21-HP301-2_L001_R1_001.fastq.gz,S21-HP301-2_L001_R2_001.fastq.gz
S22-HP301-2,S22,HP301,2,S22-HP301-2_L001_R1_001.fastq.gz,S22-HP301-2_L001_R2_001.fastq.gz
S4-HP301-2,S4,HP301,2,S4-HP301-2_L001_R1_001.fastq.gz,S4-HP301-2_L001_R2_001.fastq.gz
S17-HP301-1,S17,HP301,1,S17-HP301-1_L001_R1_001.fastq.gz,S17-HP301-1_L001_R2_001.fastq.gz
S14-HP301-2,S14,HP301,2,S14-HP301-2_L001_R1_001.fastq.gz,S14-HP301-2_L001_R2_001.fastq.gz
S20-HP301-2,S20,HP301,2,S20-HP301-2_L001_R1_001.fastq.gz,S20-HP301-2_L001_R2_001.fastq.gz
S24-HP301-2,S24,HP301,2,S24-HP301-2_L001_R1_001.fastq.gz,S24-HP301-2_L001_R2_001.fastq.gz
S18-HP301-2,S18,HP301,2,S18-HP301-2_L001_R1_001.fastq.gz,S18-HP301-2_L001_R2_001.fastq.gz
S1-HP301-1,S1,HP301,1,S1-HP301-1_L001_R1_001.fastq.gz,S1-HP301-1_L001_R2_001.fastq.gz
S5-HP301-1,S5,HP301,1,S5-HP301-1_L001_R1_001.fastq.gz,S5-HP301-1_L001_R2_001.fastq.gz
S19-HP301-1,S19,HP301,1,S19-HP301-1_L001_R1_001.fastq.gz,S19-HP301-1_L001_R2_001.fastq.gz
S16-HP301-1,S16,HP301,1,S16-HP301-1_L001_R1_001.fastq.gz,S16-HP301-1_L001_R2_001.fastq.gz
S6-HP301-1,S6,HP301,1,S6-HP301-1_L001_R1_001.fastq.gz,S6-HP301-1_L001_R2_001.fastq.gz
S1-HP301-2,S1,HP301,2,S1-HP301-2_L001_R1_001.fastq.gz,S1-HP301-2_L001_R2_001.fastq.gz
S2-HP301-2,S2,HP301,2,S2-HP301-2_L001_R1_001.fastq.gz,S2-HP301-2_L001_R2_001.fastq.gz
S21-HP301-1,S21,HP301,1,S21-HP301-1_L001_R1_001.fastq.gz,S21-HP301-1_L001_R2_001.fastq.gz
S17-HP301-2,S17,HP301,2,S17-HP301-2_L001_R1_001.fastq.gz,S17-HP301-2_L001_R2_001.fastq.gz
S15-HP301-1,S15,HP301,1,S15-HP301-1_L001_R1_001.fastq.gz,S15-HP301-1_L001_R2_001.fastq.gz
S7-HP301-2,S7,HP301,2,S7-HP301-2_L001_R1_001.fastq.gz,S7-HP301-2_L001_R2_001.fastq.gz
S12-LH60-2,S12,LH60,2,S12-LH60-2_L001_R1_001.fastq.gz,S12-LH60-2_L001_R2_001.fastq.gz
S6-LH60-2,S6,LH60,2,S6-LH60-2_L001_R1_001.fastq.gz,S6-LH60-2_L001_R2_001.fastq.gz
S3-LH60-2,S3,LH60,2,S3-LH60-2_L001_R1_001.fastq.gz,S3-LH60-2_L001_R2_001.fastq.gz
S15-LH60-2,S15,LH60,2,S15-LH60-2_L001_R1_001.fastq.gz,S15-LH60-2_L001_R2_001.fastq.gz
S9-LH60-1,S9,LH60,1,S9-LH60-1_L001_R1_001.fastq.gz,S9-LH60-1_L001_R2_001.fastq.gz
S2-LH60-1,S2,LH60,1,S2-LH60-1_L001_R1_001.fastq.gz,S2-LH60-1_L001_R2_001.fastq.gz
S18-LH60-1,S18,LH60,1,S18-LH60-1_L001_R1_001.fastq.gz,S18-LH60-1_L001_R2_001.fastq.gz
S19-LH60-2,S19,LH60,2,S19-LH60-2_L001_R1_001.fastq.gz,S19-LH60-2_L001_R2_001.fastq.gz
S12-LH60-1,S12,LH60,1,S12-LH60-1_L001_R1_001.fastq.gz,S12-LH60-1_L001_R2_001.fastq.gz
S22-LH60-1,S22,LH60,1,S22-LH60-1_L001_R1_001.fastq.gz,S22-LH60-1_L001_R2_001.fastq.gz
S24-LH60-1,S24,LH60,1,S24-LH60-1_L001_R1_001.fastq.gz,S24-LH60-1_L001_R2_001.fastq.gz
S16-LH60-2,S16,LH60,2,S16-LH60-2_L001_R1_001.fastq.gz,S16-LH60-2_L001_R2_001.fastq.gz
S14-LH60-1,S14,LH60,1,S14-LH60-1_L001_R1_001.fastq.gz,S14-LH60-1_L001_R2_001.fastq.gz
