B.gallicum,B.NA1,B.NA2,B.NA3,B.NA4,B.NA5,B.NA6,B.NA7,B.catenulatum,B.NA8,B.breve,B.adolescentis,B.bifidum,Sample_Name,Microbiome,Seed_Type,Reps
0,0,0,0,0,0,0,0,0,0,2,0,0,S12-HP301-1,S12,HP301,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S22-HP301-1,S22,HP301,1
0,0,0,0,0,0,0,0,0,0,2,0,0,S24-HP301-1,S24,HP301,1
0,0,0,0,0,0,0,0,0,0,1,0,0,S14-HP301-1,S14,HP301,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S16-HP301-2,S16,HP301,2
0,0,0,0,0,0,0,0,0,0,1,3,0,S7-HP301-1,S7,HP301,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S4-HP301-1,S4,HP301,1
0,0,0,0,0,0,1,0,33,0,10,0,0,S9-HP301-2,S9,HP301,2
0,0,0,0,0,0,0,0,0,0,1,0,0,S3-HP301-1,S3,HP301,1
0,0,0,0,0,0,0,0,0,0,0,3,0,S5-HP301-2,S5,HP301,2
0,0,0,0,0,0,0,0,0,0,3,0,0,S21-HP301-2,S21,HP301,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S22-HP301-2,S22,HP301,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S4-HP301-2,S4,HP301,2
0,0,0,0,0,0,0,0,0,1,0,0,0,S17-HP301-1,S17,HP301,1
0,0,0,0,0,0,0,0,2,0,2,5,0,S14-HP301-2,S14,HP301,2
0,0,0,0,0,0,0,0,1,0,1,18,1,S20-HP301-2,S20,HP301,2
0,0,0,0,0,0,0,0,0,0,1,0,0,S24-HP301-2,S24,HP301,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S18-HP301-2,S18,HP301,2
0,0,0,0,0,1,0,0,0,0,0,1,0,S1-HP301-1,S1,HP301,1
0,0,0,0,0,0,0,0,0,0,0,1,0,S5-HP301-1,S5,HP301,1
0,0,0,0,0,0,0,0,1,0,0,3,0,S19-HP301-1,S19,HP301,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S16-HP301-1,S16,HP301,1
0,0,0,0,0,0,0,0,0,1,67,0,0,S6-HP301-1,S6,HP301,1
0,0,0,0,0,0,0,0,0,0,0,4,1,S1-HP301-2,S1,HP301,2
0,0,0,0,0,0,0,0,0,0,3,2,0,S2-HP301-2,S2,HP301,2
0,0,0,0,0,0,0,0,0,0,0,0,3,S21-HP301-1,S21,HP301,1
0,0,0,0,0,0,0,0,0,2,0,0,0,S17-HP301-2,S17,HP301,2
0,0,0,0,0,0,0,0,2,0,0,0,0,S15-HP301-1,S15,HP301,1
