Sample Name,CT,Microbiome,Seed_Name
S20-A554-2,22.6,S20,A554
S20-A554-2,21.608,S20,A554
S20-B57-1,22.159,S20,B57
S20-B57-1,22.122,S20,B57
S20-B57-2,20.918,S20,B57
S20-B57-2,21.073,S20,B57
S20-FBB0-1,24.941,S20,FBB0
S20-FBB0-1,25.393,S20,FBB0
S20-FBB0-2,24.163,S20,FBB0
S20-FBB0-2,24.334,S20,FBB0
S20-HP301-1,21.396,S20,HP301
S20-HP301-1,22.331,S20,HP301
S20-HP301-2,21.877,S20,HP301
S20-HP301-2,21.275,S20,HP301
S20-LH60-2,21.132,S20,LH60
S20-LH60-2,21.141,S20,LH60
S20-NC262-1,21.998,S20,NC262
S20-NC262-1,22.195,S20,NC262
S20-NC262-2,21.129,S20,NC262
S20-NC262-2,20.672,S20,NC262
S20-PHG35-2,20.835,S20,PHG35
S20-PHG35-2,21.255,S20,PHG35
S20-PHG39-1,23.544,S20,PHG39
S20-PHG39-1,23.829,S20,PHG39
S20-PHG39-2,21.291,S20,PHG39
S20-PHG39-2,21.373,S20,PHG39
S20-PHG47-1,22.362,S20,PHG47
S20-PHG47-1,22.173,S20,PHG47
S20-PHG47-2,20.529,S20,PHG47
S20-PHG47-2,20.927,S20,PHG47
S21-764-1,24.94,S21,764
S21-764-1,25.281,S21,764
S21-764-2,27.047,S21,764
S21-764-2,26.908,S21,764
S21-A554-1,25.852,S21,A554
S21-A554-1,25.094,S21,A554
S21-A554-2,27.229,S21,A554
S21-A554-2,27.553,S21,A554
S21-B57-1,Undetermined,S21,B57
S21-B57-1,22.115,S21,B57
S21-B57-2,26.66,S21,B57
S21-B57-2,26.895,S21,B57
S21-FBB0-1,27.363,S21,FBB0
S21-FBB0-1,27.062,S21,FBB0
S21-FBB0-2,29.741,S21,FBB0
S21-FBB0-2,29.957,S21,FBB0
S21-HP301-1,28.143,S21,HP301
S21-HP301-1,25.565,S21,HP301
S21-HP301-2,27.151,S21,HP301
S21-HP301-2,27.223,S21,HP301
S21-LH60-1,25.935,S21,LH60
S21-LH60-1,25.645,S21,LH60
S21-LH60-2,27.572,S21,LH60
S21-LH60-2,27.222,S21,LH60
S21-NC262-1,24.98,S21,NC262
S21-NC262-1,25.035,S21,NC262
S21-NC262-2,29.482,S21,NC262
S21-NC262-2,28.863,S21,NC262
S21-PHG35-1,25.285,S21,PHG35
S21-PHG35-1,25.423,S21,PHG35
S21-PHG35-2,27.471,S21,PHG35
S21-PHG35-2,27.03,S21,PHG35
S21-PHG39-1,25.338,S21,PHG39
S21-PHG39-1,25.014,S21,PHG39
S21-PHG39-2,27.397,S21,PHG39
S21-PHG39-2,28.716,S21,PHG39
S21-PHG47-1,24.561,S21,PHG47
S21-PHG47-1,24.575,S21,PHG47
S21-PHG47-2,26.18,S21,PHG47
S21-PHG47-2,26.358,S21,PHG47
S22-764-1,25.527,S22,764
S22-764-1,24.859,S22,764
S22-764-2,27.305,S22,764
S22-764-2,27.441,S22,764
S22-A554-1,28.184,S22,A554
S22-A554-1,27.673,S22,A554
S22-A554-2,26.421,S22,A554
S22-A554-2,27.161,S22,A554
S22-B57-1,27.306,S22,B57
S22-B57-1,27.648,S22,B57
S22-B57-2,30.276,S22,B57
S22-B57-2,30.535,S22,B57
S22-FBB0-1,30.108,S22,FBB0
S22-FBB0-1,29.616,S22,FBB0
S22-FBB0-2,27.732,S22,FBB0
S22-FBB0-2,27.73,S22,FBB0
S22-HP301-1,26.697,S22,HP301
S22-HP301-1,27.293,S22,HP301
S22-HP301-2,27.313,S22,HP301
S22-HP301-2,27.13,S22,HP301
S22-LH60-1,28.753,S22,LH60
S22-LH60-1,29.559,S22,LH60
S22-LH60-2,28.392,S22,LH60
S22-LH60-2,28.46,S22,LH60
S22-NC262-1,26.906,S22,NC262
S22-NC262-1,26.731,S22,NC262
S22-NC262-2,28.708,S22,NC262
S22-NC262-2,29.429,S22,NC262
S22-PHG35-1,27.562,S22,PHG35
S22-PHG35-1,28.049,S22,PHG35
S22-PHG35-2,26.39,S22,PHG35
S22-PHG35-2,26.97,S22,PHG35
S22-PHG39-1,29.614,S22,PHG39
S22-PHG39-1,29.975,S22,PHG39
S22-PHG39-2,28.23,S22,PHG39
S22-PHG39-2,28.657,S22,PHG39
S22-PHG47-1,24.579,S22,PHG47
S22-PHG47-1,24.218,S22,PHG47
S22-PHG47-2,28.274,S22,PHG47
S22-PHG47-2,28.593,S22,PHG47
S24-764-1,25.301,S24,764
S24-764-1,24.999,S24,764
S24-764-2,26.575,S24,764
S24-764-2,26.317,S24,764
S24-A554-1,26.45,S24,A554
S24-A554-1,26.485,S24,A554
S24-A554-2,26.271,S24,A554
S24-A554-2,27.102,S24,A554
S24-B57-1,26.576,S24,B57
S24-B57-1,29.183,S24,B57
S24-B57-2,27.296,S24,B57
S24-B57-2,27.163,S24,B57
S24-FBB0-1,26.819,S24,FBB0
S24-FBB0-1,26.938,S24,FBB0
S24-FBB0-2,27.393,S24,FBB0
S24-FBB0-2,27.933,S24,FBB0
S24-HP301-1,26.554,S24,HP301
S24-HP301-1,26.568,S24,HP301
S24-HP301-2,25.966,S24,HP301
S24-HP301-2,26.785,S24,HP301
S24-LH60-1,25.786,S24,LH60
S24-LH60-1,26.358,S24,LH60
S24-LH60-2,27.261,S24,LH60
S24-LH60-2,27.509,S24,LH60
S24-NC262-1,24.83,S24,NC262
S24-NC262-1,24.669,S24,NC262
S24-NC262-2,27.591,S24,NC262
S24-NC262-2,27.38,S24,NC262
S24-PHG35-1,27.095,S24,PHG35
S24-PHG35-1,27.078,S24,PHG35
S24-PHG35-2,25.183,S24,PHG35
S24-PHG35-2,24.776,S24,PHG35
S24-PHG39-1,23.748,S24,PHG39
S24-PHG39-1,24.16,S24,PHG39
S24-PHG39-2,26.479,S24,PHG39
S24-PHG39-2,26.077,S24,PHG39
S24-PHG47-1,25.539,S24,PHG47
S24-PHG47-1,25.303,S24,PHG47
S24-PHG47-2,23.908,S24,PHG47
S24-PHG47-2,24.085,S24,PHG47
S3-764-1,22.43,S3,764
S3-764-1,22.06,S3,764
S3-764-2,23.084,S3,764
S3-764-2,23.056,S3,764
S3-A554-1,27.53,S3,A554
S3-A554-1,27.572,S3,A554
S3-A554-2,25.281,S3,A554
S3-A554-2,25.223,S3,A554
S3-B57-1,25.072,S3,B57
S3-B57-1,25.028,S3,B57
S3-B57-2,26.886,S3,B57
S3-B57-2,26.739,S3,B57
S3-FBB0-1,27.961,S3,FBB0
S3-FBB0-1,28.437,S3,FBB0
S3-FBB0-2,27.894,S3,FBB0
S3-FBB0-2,27.941,S3,FBB0
S3-HP301-1,25.811,S3,HP301
S3-HP301-1,25.55,S3,HP301
S3-HP301-2,27.371,S3,HP301
S3-HP301-2,26.805,S3,HP301
S3-LH60-1,25.332,S3,LH60
S3-LH60-1,25.062,S3,LH60
S3-LH60-2,26.939,S3,LH60
S3-LH60-2,27.254,S3,LH60
S3-NC262-1,26.012,S3,NC262
S3-NC262-1,26.011,S3,NC262
S3-NC262-2,24.771,S3,NC262
S3-NC262-2,24.723,S3,NC262
S3-PHG35-1,24.053,S3,PHG35
S3-PHG35-1,23.935,S3,PHG35
S3-PHG35-2,23.975,S3,PHG35
S3-PHG35-2,24.046,S3,PHG35
S3-PHG39-1,25.895,S3,PHG39
S3-PHG39-1,25.556,S3,PHG39
S3-PHG39-2,25.622,S3,PHG39
S3-PHG39-2,25.611,S3,PHG39
S3-PHG47-1,24.672,S3,PHG47
S3-PHG47-1,24.505,S3,PHG47
S3-PHG47-2,25.164,S3,PHG47
