Sample_Name,Microbiome,Seed_Type,Reps,Microbiome_Seed,Bif_adolescentis,Bif_breve,Bif_gallicum,Bif_catenulatum,Bif_bifidum,Bif_adolescentis_log2,Bif_breve_log2,Bif_gallicum_log2,Bif_catenulatum_log2,Bif_bifidum_log2
S21-B57-1,S21,B57,1,S21_B57,0,2,0,0,0,0,1.584962501,0,0,0
S21-FBB0-2,S21,FBB0,2,S21_FBB0,0,0,0,0,2,0,0,0,0,1.584962501
S21-FBB0-1,S21,FBB0,1,S21_FBB0,0,1,0,0,0,0,1,0,0,0
S21-HP301-2,S21,HP301,2,S21_HP301,0,1,0,0,0,0,1,0,0,0
S21-HP301-1,S21,HP301,1,S21_HP301,0,0,0,0,4,0,0,0,0,2.321928095
S21-LH60-2,S21,LH60,2,S21_LH60,0,2,0,0,1,0,1.584962501,0,0,1
S21-LH60-1,S21,LH60,1,S21_LH60,0,0,0,0,2,0,0,0,0,1.584962501
S21-NC262-2,S21,NC262,2,S21_NC262,0,0,0,0,0,0,0,0,0,0
S21-NC262-1,S21,NC262,1,S21_NC262,0,0,0,1,1,0,0,0,1,1
S21-PHG35-2,S21,PHG35,2,S21_PHG35,0,0,0,0,0,0,0,0,0,0
S21-PHG35-1,S21,PHG35,1,S21_PHG35,0,0,0,0,5,0,0,0,0,2.584962501
S21-PHG39-2,S21,PHG39,2,S21_PHG39,0,0,0,0,1,0,0,0,0,1
S21-PHG39-1,S21,PHG39,1,S21_PHG39,0,1,0,0,0,0,1,0,0,0
S21-PHG47-2,S21,PHG47,2,S21_PHG47,0,0,0,0,3,0,0,0,0,2
S21-PHG47-1,S21,PHG47,1,S21_PHG47,0,1,0,0,0,0,1,0,0,0
S22-764-1,S22,764,1,S22_764,0,1,0,0,0,0,1,0,0,0
S22-764-2,S22,764,2,S22_764,0,2,0,0,0,0,1.584962501,0,0,0
S22-A554-1,S22,A554,1,S22_A554,0,1,0,0,0,0,1,0,0,0
S22-A554-2,S22,A554,2,S22_A554,0,0,0,0,0,0,0,0,0,0
S22-B57-1,S22,B57,1,S22_B57,0,2,0,0,0,0,1.584962501,0,0,0
S22-B57-2,S22,B57,2,S22_B57,0,0,0,0,0,0,0,0,0,0
S22-FBB0-1,S22,FBB0,1,S22_FBB0,0,0,0,1,0,0,0,0,1,0
S22-FBB0-2,S22,FBB0,2,S22_FBB0,0,3,0,0,0,0,2,0,0,0
S22-HP301-1,S22,HP301,1,S22_HP301,0,1,0,0,0,0,1,0,0,0
S22-HP301-2,S22,HP301,2,S22_HP301,0,0,0,0,0,0,0,0,0,0
S22-LH60-1,S22,LH60,1,S22_LH60,0,0,0,0,0,0,0,0,0,0
S22-LH60-2,S22,LH60,2,S22_LH60,0,0,0,0,0,0,0,0,0,0
S22-NC262-1,S22,NC262,1,S22_NC262,0,3,0,0,0,0,2,0,0,0
S22-NC262-2,S22,NC262,2,S22_NC262,0,2,0,0,0,0,1.584962501,0,0,0
S22-PHG35-1,S22,PHG35,1,S22_PHG35,0,0,0,0,0,0,0,0,0,0
S22-PHG35-2,S22,PHG35,2,S22_PHG35,0,0,0,0,0,0,0,0,0,0
S22-PHG39-1,S22,PHG39,1,S22_PHG39,0,1,0,0,0,0,1,0,0,0
S22-PHG39-2,S22,PHG39,2,S22_PHG39,0,0,0,0,0,0,0,0,0,0
S22-PHG47-1,S22,PHG47,1,S22_PHG47,0,3,0,0,0,0,2,0,0,0
S22-PHG47-2,S22,PHG47,2,S22_PHG47,0,2,0,0,0,0,1.584962501,0,0,0
S24-764-1,S24,764,1,S24_764,0,2,0,0,0,0,1.584962501,0,0,0
S24-764-2,S24,764,2,S24_764,0,0,0,1,0,0,0,0,1,0
S24-A554-1,S24,A554,1,S24_A554,0,2,0,1,0,0,1.584962501,0,1,0
S24-A554-2,S24,A554,2,S24_A554,1,0,0,0,0,1,0,0,0,0
S24-B57-1,S24,B57,1,S24_B57,0,0,0,0,0,0,0,0,0,0
S24-B57-2,S24,B57,2,S24_B57,0,3,0,0,0,0,2,0,0,0
S24-FBB0-1,S24,FBB0,1,S24_FBB0,0,7,0,1,1,0,3,0,1,1
S24-FBB0-2,S24,FBB0,2,S24_FBB0,1,1,0,1,1,1,1,0,1,1
S24-HP301-1,S24,HP301,1,S24_HP301,0,1,0,0,0,0,1,0,0,0
S24-HP301-2,S24,HP301,2,S24_HP301,0,0,0,0,0,0,0,0,0,0
S24-LH60-1,S24,LH60,1,S24_LH60,2,1,0,0,1,1.584962501,1,0,0,1
S24-LH60-2,S24,LH60,2,S24_LH60,0,0,0,0,0,0,0,0,0,0
S24-NC262-1,S24,NC262,1,S24_NC262,0,3,0,0,0,0,2,0,0,0
S24-NC262-2,S24,NC262,2,S24_NC262,0,2,0,0,0,0,1.584962501,0,0,0
S24-PHG35-1,S24,PHG35,1,S24_PHG35,1,3,0,0,0,1,2,0,0,0
S24-PHG35-2,S24,PHG35,2,S24_PHG35,2,3,0,0,0,1.584962501,2,0,0,0
S24-PHG39-1,S24,PHG39,1,S24_PHG39,0,2,0,0,4,0,1.584962501,0,0,2.321928095
S24-PHG39-2,S24,PHG39,2,S24_PHG39,0,2,0,0,0,0,1.584962501,0,0,0
S24-PHG47-1,S24,PHG47,1,S24_PHG47,1,2,0,0,1,1,1.584962501,0,0,1
S24-PHG47-2,S24,PHG47,2,S24_PHG47,0,8,0,0,0,0,3.169925001,0,0,0
S3-764-2,S3,764,2,S3_764,0,11,0,0,0,0,3.584962501,0,0,0
S3-764-1,S3,764,1,S3_764,0,10,0,0,0,0,3.459431619,0,0,0
S3-A554-2,S3,A554,2,S3_A554,0,3,0,0,0,0,2,0,0,0
S3-A554-1,S3,A554,1,S3_A554,0,0,0,0,0,0,0,0,0,0
S3-B57-2,S3,B57,2,S3_B57,0,1,0,0,0,0,1,0,0,0
S3-B57-1,S3,B57,1,S3_B57,0,0,0,0,0,0,0,0,0,0
S3-FBB0-2,S3,FBB0,2,S3_FBB0,0,3,0,0,0,0,2,0,0,0
S3-FBB0-1,S3,FBB0,1,S3_FBB0,0,1,0,0,0,0,1,0,0,0
S3-HP301-2,S3,HP301,2,S3_HP301,0,2,0,0,0,0,1.584962501,0,0,0
S3-HP301-1,S3,HP301,1,S3_HP301,0,1,0,1,0,0,1,0,1,0
